feature_signature,group_size,distinct_labels
36899:0.16525462|29109:0.26225216|47879:0.23796374|47993:0.92048247,4,2
42638:0.00427073|18108:0.06663093|40320:0.01098449|36899:0.01879018|29109:0.10649724|26328:0.01664754|37247:0.05057969|21582:0.01984674|46637:0.00562331|24927:0.00701548|7941:0.01872383|48347:0.01846454|3102:0.00569336|10620:0.05127659|46735:0.00788532|21393:0.02025718|27165:0.01121555|2364:0.00989580|13813:0.01477485|17263:0.06834753|43583:0.03303624|8218:0.00639912|27166:0.01189143|17428:0.00622344|17468:0.01466916|10690:0.01735079|4871:0.05956032|12546:0.13990582|48154:0.08575464|270:0.01609395|47061:0.09701065|25216:0.02037256|6804:0.01575095|49059:0.01247684|27300:0.02208619|30984:0.01046336|16811:0.00996129|21692:0.00708718|13854:0.00656158|13856:0.00682056|42358:0.08170680|27673:0.00740423|48521:0.01009537|13102:0.02341830|38006:0.07137238|9448:0.01248701|9409:0.01148657|9455:0.01689356|30666:0.01785719|35862:0.01773251|8159:0.08832265|5611:0.01767281|42326:0.01996924|30650:0.01106711|11769:0.03653497|42188:0.07977536|44793:0.00747337|14118:0.06561438|29270:0.01385810|29458:0.03584481|13165:0.01761475|294:0.01755823|42713:0.01755823|30070:0.02204688|44679:0.14962883|16447:0.07858846|21163:0.00918085|23505:0.03843485|38409:0.01802049|38294:0.00893745|44005:0.04966746|3909:0.01654871|27529:0.00900236|3923:0.01122957|27543:0.01464860|47093:0.01317270|19533:0.01011690|49689:0.07296415|49692:0.01360892|38232:0.01181959|32809:0.01505198|29222:0.01179740|39859:0.01020181|39271:0.01132454|28675:0.01863580|6210:0.12597307|6820:0.00958786|17501:0.01036006|38396:0.01215744|17661:0.01272961|38158:0.02680604|38159:0.01734615|29313:0.01016915|44239:0.00915321|44198:0.01384665|12705:0.00838831|12729:0.00994895|35482:0.01391549|35882:0.01270688|12880:0.03580250|29145:0.02299863|35483:0.01508644|44830:0.01385635|30655:0.01466277|13916:0.01710779|44831:0.01697667|30656:0.01681359|38160:0.01755823|33682:0.03075268|12571:0.03068947|29126:0.01066258|29162:0.01361759|37253:0.01092839|37252:0.01563894|3063:0.02805681|40330:0.01250748|13118:0.01403897|18643:0.01288358|12883:0.04897525|12612:0.02761660|19699:0.01075727|2365:0.01445951|12589:0.01281707|12599:0.01563894|10678:0.02996940|21892:0.01582743|14426:0.01387588|17741:0.01258607|47096:0.01561652|13158:0.01381782|30174:0.01279339|44698:0.01266769|1592:0.01308985|6293:0.01482529|10129:0.01334114|10139:0.01444663|6215:0.01706318|24704:0.01500132|5164:0.02434990|2197:0.01096533|21150:0.01595436|33579:0.05399743|42316:0.01336414|21901:0.01432194|40827:0.01719994|32429:0.05677103|29503:0.01259142|6674:0.01614590|17574:0.01395586|21808:0.01415885|19896:0.01297136|44724:0.01351585|16528:0.01582743|19817:0.03810372|44710:0.02915823|13922:0.01221042|5113:0.01383700|29735:0.04461561|33832:0.10560506|32165:0.19440003|48060:0.19516385|11858:0.01673652|38146:0.01648692|13015:0.01614590|29295:0.01655529|10877:0.04897525|6012:0.05146010|8114:0.03386942|21409:0.01595436|27167:0.01557237|44690:0.01447247|48993:0.06447950|39730:0.08101979|13373:0.01343465|43204:0.05817376|43205:0.05817376|32175:0.05817376|32176:0.05817376|17740:0.01595436|8284:0.01368823|2519:0.09975559|24964:0.01575477|42621:0.02582903|37260:0.01645355|17462:0.01773251|13808:0.01279929|4043:0.01632508|43592:0.01715337|39953:0.05930118|27714:0.01582743|5111:0.01638834|33441:0.02910389|29477:0.03277669|42319:0.01914166|48161:0.04240963|16484:0.03123304|5056:0.01729628|29226:0.02952949|43598:0.04810302|18369:0.08509743|10869:0.01719994|33834:0.03611833|26011:0.08896967|13925:0.01648692|12579:0.01645355|42618:0.05815397|10861:0.03258829|11809:0.01550782|11810:0.01568452|29297:0.01681359|44729:0.18919938|12741:0.01506914|14144:0.09872131|12884:0.03584481|29183:0.01773251|21902:0.01689356|16609:0.03386942|14419:0.01710779|9462:0.09181206|14427:0.01853203|42616:0.05234862|48162:0.01750319|26023:0.05508724|10528:0.01652083|46752:0.01734615|3929:0.01805917|12572:0.01734615|38488:0.01697667|44731:0.01902709|42194:0.01926278|14145:0.01926278|49841:0.09695627|49842:0.02000088|36310:0.14800150|40826:0.23616707|5719:0.69409422,4,2
41932:0.14734938|47879:0.16290488|41995:0.26543526|45396:0.54092859|49907:0.76726172,4,2
42638:0.00372757|18108:0.02791520|36899:0.01874332|21582:0.01443549|46637:0.01963250|24927:0.04286265|7941:0.01089499|13558:0.03104808|10620:0.00372959|46735:0.02752980|11146:0.00595956|37159:0.01282153|20008:0.00690130|11769:0.04464372|21330:0.14535136|49363:0.01467520|26890:0.60302201|10491:0.02201670|49364:0.01467520|21658:0.01049686|18863:0.01570171|18619:0.01987273|15985:0.00568414|30070:0.06414302|21781:0.00814282|45010:0.03257788|48820:0.04487534|1490:0.02874328|10507:0.00891951|10514:0.01137838|25127:0.01063420|10666:0.01253242|8629:0.00877158|48883:0.01242790|25132:0.01558608|25133:0.01558608|24648:0.07975892|11192:0.00965730|13575:0.01960766|11877:0.02021000|18681:0.01948192|30174:0.01116630|37064:0.02028013|18625:0.02540239|11879:0.02517398|24957:0.03384879|46750:0.03710372|46266:0.01081203|47002:0.03839379|48879:0.08825861|49352:0.04612339|37429:0.04766991|11839:0.01373038|11825:0.01155351|20017:0.01253242|26896:0.07638547|21660:0.01451141|8634:0.01401892|19086:0.01485491|21787:0.01248990|25383:0.29490000|26895:0.29635084|49357:0.10474275|49358:0.01532514|20794:0.27012949|792:0.24912083|797:0.15232527|798:0.23862161|2747:0.11072429|5329:0.10924242|5626:0.11072429|30311:0.10924242|20190:0.12116355|20192:0.10793532|49354:0.10474275|26894:0.08211032|26891:0.10474275|799:0.10570836|49353:0.04876141|20795:0.12456042|20796:0.10793532|49355:0.10474275|20019:0.01493199|26897:0.08522200,4,2
6425:0.10435285|40075:0.23794497|47879:0.04568335|8218:0.22688693|40238:0.07936631|35630:0.11436413|35886:0.19445876|46296:0.10115838|46334:0.10224768|47540:0.51179157|47551:0.19082268|40298:0.13373662|32206:0.18855902|32207:0.20114733|40099:0.39132229|47542:0.20886872|6594:0.17363264|46314:0.18278556|35927:0.24653827|8346:0.20441871|8349:0.21428402,4,2
47879:0.52179310|12776:0.85307207,4,2
42638:0.18404707|18108:0.05742923|36899:0.11568046|21582:0.07127463|37329:0.21672072|49809:0.84156036|49808:0.43494230,4,2
7343:0.52010124|12390:0.44422706|30809:0.51169315|30808:0.51992994,4,2
42638:0.10796322|18108:0.05989042|36899:0.02261964|29109:0.02393095|41932:0.00982055|21582:0.00929115|31386:0.18071602|48347:0.01728816|41983:0.03137099|24548:0.02765036|34936:0.19991309|29462:0.03137099|31611:0.07294189|28185:0.21092043|19225:0.05450573|35018:0.04543270|22419:0.06208460|11670:0.04931878|18899:0.06227508|48383:0.03588556|37632:0.12956214|14406:0.21970481|24571:0.03922887|9772:0.04310135|46800:0.08524983|47657:0.04733842|26839:0.11959679|26727:0.45392880|43021:0.04733842|42847:0.13950492|26737:0.16033379|46968:0.17596563|42846:0.16033379|28191:0.04418658|37642:0.10315523|30411:0.18845791|37647:0.04445719|26738:0.19791009|26740:0.04964061|26732:0.05072584|46967:0.04805356|43011:0.04831239|26742:0.10514394|18708:0.04886649|34906:0.09863757|26735:0.05313928|31553:0.22104926|14408:0.04964061|28250:0.51028002|26728:0.04998083,4,2
6425:0.00150989|18108:0.02461145|36899:0.00091806|29109:0.01602613|41932:0.00239151|47879:0.00132199|21582:0.00113129|23973:0.00240292|7941:0.01707658|10620:0.01461421|41995:0.00215403|13813:0.00505313|12776:0.00216130|28830:0.00856240|22346:0.00289346|37159:0.00251202|10690:0.00989021|6514:0.00366611|27300:0.01321893|38006:0.01502154|22617:0.06294342|46557:0.01979351|45265:0.00884182|16401:0.00775224|45621:0.00619251|34245:0.00627184|48820:0.03265631|48974:0.02194125|48889:0.00382256|48980:0.00431374|23757:0.00401741|24137:0.00522833|45286:0.00323275|14200:0.14330383|20917:0.00281176|31887:0.32204837|29663:0.00361078|11327:0.03543233|48938:0.01430866|27458:0.00374516|32439:0.11370955|15878:0.01917432|36709:0.00660515|5482:0.01844583|36484:0.00361853|14901:0.00365187|33110:0.08320647|16420:0.00383869|45570:0.02946241|34270:0.01158334|10981:0.01659624|31930:0.00357522|31931:0.00358192|33149:0.00403105|31934:0.00403105|16406:0.01713897|34211:0.00781209|16408:0.02628751|12377:0.01004919|44239:0.00313048|34322:0.01409105|12378:0.01011991|49045:0.00493214|13899:0.00457065|13900:0.00479066|41940:0.00375621|26362:0.01129450|8487:0.02527399|22619:0.00545654|49053:0.00872300|29451:0.00538018|49054:0.00604426|29452:0.00606468|39434:0.01848509|34217:0.00860545|34220:0.00454987|39439:0.00538827|5390:0.02576207|5957:0.02722307|33113:0.02701666|5391:0.02722307|33114:0.02722307|33736:0.01176507|8136:0.00495866|48982:0.01580536|48985:0.00466031|19587:0.00513632|867:0.00443196|41942:0.00531846|44983:0.00460575|34212:0.00510260|34218:0.01155550|33132:0.00573710|29319:0.00617640|465:0.00440840|12836:0.00505480|29981:0.02409761|7315:0.03766123|5947:0.02579849|5948:0.02585839|5958:0.02241984|5949:0.02585839|5392:0.02241984|34230:0.02104634|10985:0.00560496|49041:0.00990835|49318:0.00606468|48993:0.00441051|10829:0.00546554|34258:0.00558333|27371:0.01764761|49108:0.01094931|14196:0.00585102|31354:0.00541312|36715:0.01225925|14194:0.02322470|47252:0.00572404|5950:0.00544764|5504:0.00633812|5951:0.00548389|5952:0.00548389|45578:0.02917881|45581:0.00572404|35955:0.02862020|28287:0.02512044|10984:0.00585102|19244:0.06725953|22623:0.00561603|34221:0.00580618|34329:0.05851020|14193:0.00600507|14183:0.05237296|11333:0.00628011|33127:0.02523414|14195:0.01256022|33151:0.01261707|33128:0.01261707|34232:0.02501103|21309:0.03217449|20947:0.00565027|49044:0.00537217|32462:0.07905655|22569:0.06840482|43247:0.00598625|8138:0.00583576|26390:0.41588984|41457:0.17192455|41458:0.08222478|41459:0.07474980|8531:0.08969976|8530:0.08969976|32461:0.14202463|33880:0.04747730|43161:0.17192455|43162:0.11959969|39048:0.07474980|31060:0.07474980|41455:0.17939953|38669:0.18687451|44871:0.01309324|47254:0.03751655|31892:0.28201373|14231:0.17192455|26391:0.19434949|14232:0.11959969|31917:0.07474980|31061:0.07474980|31911:0.15528623|32449:0.17939953|41456:0.17939953|34330:0.06727482|46561:0.00636897|26393:0.08969976|44244:0.00633812|32443:0.01245280|11341:0.01221464|31893:0.17192455|26392:0.19434949|31894:0.11959969|31062:0.07474980|31912:0.17939953|32450:0.17939953|10749:0.00678247|20948:0.00647026,4,2
18108:0.02943422|36899:0.02964487|41932:0.03861188|47879:0.04268809|46637:0.12420490|24927:0.15495445|10620:0.04719049|46735:0.17416711|2234:0.43557030|2246:0.16224829|2251:0.18612250|21316:0.10594329|41961:0.11169182|48026:0.17479422|48027:0.18795896|21320:0.18170893|41965:0.18321932|48058:0.32678025|24933:0.18702272|35614:0.18795896|1433:0.35922350|1434:0.37313657|36932:0.18612250|46739:0.18995190,3,2
18108:0.00285353|2074:0.13266415|47879:0.00413844|21582:0.02479034|46637:0.00602059|13813:0.00527289|35232:0.11660890|24709:0.01269073|14687:0.15136775|49572:0.24913039|46701:0.00788705|21316:0.01027078|21916:0.01417219|37531:0.20125357|5911:0.05258407|7209:0.13859568|21815:0.01229807|36161:0.03398306|36172:0.01582388|4524:0.09473194|5390:0.06720610|21923:0.07135721|5914:0.01504217|22923:0.05981352|35266:0.11606589|14688:0.11789723|35267:0.11807468|22900:0.03583784|18328:0.01862629|13832:0.01574482|7169:0.10628296|4526:0.01841508|2120:0.03635208|14689:0.04028848|22840:0.01817604|46823:0.11315515|31323:0.03626222|23026:0.03725258|23025:0.01892135|22841:0.01851823|5400:0.03852123|21613:0.01957405|21445:0.10072119|20989:0.10311829|23024:0.01918858|31289:0.05952384|21446:0.08249464|4747:0.19450183|4566:0.19450183|21391:0.08644526|21392:0.08644526|35434:0.40341370|15225:0.20254934|31879:0.13239960|49591:0.15127920|49605:0.12966789|35298:0.12966789|14711:0.12966789|49586:0.12966789|2112:0.12966789|49585:0.12966789|37533:0.13239960|31880:0.13239960|37534:0.13239960|31881:0.13239960|31255:0.11166914|31256:0.11166914|35435:0.39719879,3,2
18108:0.01072957|36899:0.02161272|29109:0.01714924|41932:0.01407508|21582:0.01331633|47200:0.52319888|41967:0.02224676|42546:0.03531867|29408:0.02989557|44538:0.09938929|43239:0.09589936|39485:0.27276232|47222:0.05590039|33648:0.04268551|37457:0.32912672|37471:0.05852830|45396:0.05167047|49988:0.10544750|40925:0.55030409|45398:0.07114626|36890:0.14182505|1386:0.06637219|37374:0.11220226|39499:0.06477179|17134:0.06019236|36330:0.07188856|25651:0.33765357|32706:0.16252159,3,2
18108:0.00834502|40320:0.01719655|36899:0.01680948|29109:0.02667594|41932:0.01094701|21582:0.01035689|6704:0.06057053|8218:0.04007207|10173:0.39370846|41967:0.01730261|29408:0.02325154|3909:0.07772250|10202:0.03895555|10184:0.04274715|29191:0.05252259|12901:0.29257634|5457:0.04224163|440:0.46970034|12073:0.33806983|36054:0.05515283|36055:0.05497588|442:0.05830728|18123:0.05302359|443:0.41953577|8323:0.03801128|37302:0.05552154|40359:0.05121311|8259:0.05830728|3963:0.05385405|37303:0.05700210|8325:0.04918168|6886:0.04320492|12910:0.04940410|10189:0.43465011|12920:0.04712865,3,2
6425:0.06905655|18108:0.04169023|36899:0.02099430|11566:0.19381759|37052:0.07534657|41097:0.28649709|42086:0.21511238|7186:0.08615432|41062:0.18220466|6548:0.25211274|44239:0.07158824|918:0.11391829|5461:0.09539446|46589:0.14180462|42087:0.12650434|33437:0.68237387|28694:0.24462782|39465:0.32990077|7191:0.14017310,3,2
6425:0.05556749|36899:0.05068021|21582:0.02081719|45676:0.04258598|43376:0.04108869|4296:0.08223526|30810:0.08208452|6704:0.24349178|11954:0.07558401|22110:0.08014833|1802:0.06222156|30811:0.08835265|11958:0.08108132|46777:0.07543130|30383:0.13004946|8783:0.04354218|42019:0.16563929|47540:0.13626351|36709:0.18231420|36732:0.17392174|8814:0.06785647|36713:0.10143332|9364:0.28078320|42058:0.17657227|32338:0.10509331|44058:0.21315330|37386:0.23325841|37070:0.09494475|37072:0.09915083|31312:0.30171785|21086:0.46651682|30386:0.11050073|9365:0.11608479|32230:0.37441732|6747:0.11015431|6616:0.10916598,3,2
6425:0.05101839|36899:0.01551041|41932:0.02020201|27129:0.09023490|9775:0.55660626|45813:0.17771602|46296:0.09891322|28159:0.07571390|27995:0.22714169|27955:0.15426302|41940:0.06346046|28160:0.07571390|27956:0.15544018|27999:0.07978669|45889:0.13869864|34020:0.08362439|43547:0.07722024|12522:0.34482944|28161:0.08155580|7321:0.09911507|6594:0.16977894|12525:0.43976692|9795:0.10814664|9788:0.22917681|45828:0.09738063|9789:0.22917681,3,2
6425:0.03912884|18108:0.01181127|36899:0.02379159|2074:0.25344014|21582:0.02931760|45676:0.08996306|43376:0.02893334|4296:0.72384292|3102:0.10092270|45688:0.04769191|3111:0.09388032|270:0.24962675|45739:0.05580013|8783:0.03066101|3267:0.04675059|34704:0.08615300|47284:0.20986871|36709:0.25675964|37312:0.05043698|29924:0.09388507|278:0.06325687|2075:0.07130171|279:0.08034937|36722:0.05822141|18115:0.05812979|37375:0.05812979|2103:0.06647986|346:0.13802102|21833:0.05975124|2921:0.13060019|47357:0.14583112|36711:0.07972307|288:0.06647986|43377:0.07622327|29925:0.08383874|350:0.24757869|34705:0.07248536,3,2
18108:0.04097478|36899:0.00275120|29109:0.07858875|41932:0.00358339|47879:0.00396168|21582:0.04407281|24927:0.01438060|7941:0.00639680|43376:0.00669156|4296:0.02008883|3102:0.02334091|10620:0.02189764|41995:0.00645512|13813:0.03028604|28853:0.03237981|43321:0.01181555|11146:0.03499048|4871:0.01526112|270:0.02474248|22078:0.02701629|20008:0.04051977|13102:0.03200248|38006:0.02813496|30650:0.05671446|44793:0.06893643|49572:0.05723752|13004:0.01535810|11172:0.01833011|8783:0.00709113|44203:0.03858804|48820:0.04516759|48974:0.00939324|3584:0.03599990|47284:0.00808957|13953:0.01214096|13950:0.01185916|48988:0.03711840|13294:0.02019352|46437:0.10187083|46438:0.10187083|14000:0.01073416|38158:0.02747402|38316:0.04219936|22020:0.01651908|20738:0.03535472|16896:0.02910082|48430:0.02851478|44285:0.06584769|14936:0.01557191|20193:0.25348924|20191:0.16899283|20194:0.19011693|13746:0.10562052|13745:0.16899283|31001:0.12698121|9017:0.07769706|9033:0.19874464|9040:0.19283849|31005:0.14227807|31007:0.14786872|48413:0.06909264|2726:0.08483915|5973:0.05146851|6007:0.10562052|21961:0.16899283|13665:0.09969042|49221:0.24390526|49725:0.24390526|49920:0.01670018|49917:0.01632528|45382:0.15526012|12753:0.01260832|32936:0.16679822|10269:0.15780379|37437:0.17957807|31031:0.01505751|9043:0.05901839|35482:0.01426225|35882:0.01302353|48262:0.01460561|48767:0.01465415|47261:0.03740803|15867:0.01635193|14921:0.01836901|23002:0.01499920|33525:0.01535810|886:0.04806900|44044:0.01605188|14934:0.05816945|12880:0.02446311|6046:0.02620031|14935:0.01873802|36034:0.01324915|16270:0.01334102|2831:0.01336123|14938:0.01811320|37444:0.01783073|22021:0.01700373|16940:0.03114381|29145:0.01178587|29219:0.01574731|9022:0.01727316|21628:0.01744359|21907:0.01258927|49599:0.01881998|19994:0.01689776|49921:0.01693251|49918:0.01679672|12763:0.01589426|32937:0.16679822|29482:0.16287285|45385:0.17277801|10271:0.01799577|47305:0.01596042|35483:0.01546238|10274:0.17264530|44830:0.07100819|30655:0.07514078|13916:0.01753410|48264:0.01570709|18504:0.01686356|13949:0.01753410|29381:0.09641924|28854:0.03921109|348:0.04730312|15869:0.01865903|3210:0.03792621|11179:0.02448731|11156:0.01475460|14018:0.01881998|28899:0.01271118|44798:0.05460111|6049:0.03599153|13933:0.03081923|18213:0.01938982|49680:0.01170863|49600:0.01445496|49589:0.01805369|21910:0.01524246|19995:0.01715358|49922:0.01723256|32938:0.16969765|29483:0.17277801|45386:0.01873802|45387:0.17887018|10275:0.17264530|46447:0.08245157|44831:0.08699858|30656:0.03446513|38160:0.01799577|38162:0.01823734|29382:0.09641924|38317:0.05621405|28855:0.04859018|3214:0.03372711|3212:0.01546238|14019:0.01918281|46441:0.05988247|13955:0.01237280|49602:0.01632528|13952:0.01229274,3,2
18108:0.04084393|36899:0.05379354|23973:0.14908133|45676:0.02393051|7941:0.02942943|43376:0.00769638|4296:0.03850899|10620:0.04533449|24027:0.01118152|45688:0.01268623|27165:0.01322114|2364:0.01166539|27166:0.01401789|10690:0.02045350|22078:0.01035770|30070:0.02598935|46334:0.05099222|24085:0.02535122|24137:0.00901039|695:0.01263879|10839:0.05900815|46272:0.01216687|7976:0.01251158|24046:0.02822050|30124:0.01582769|36657:0.01450160|32768:0.08944382|2197:0.14218797|13696:0.01744044|9590:0.02195229|48340:0.01555329|31777:0.17353241|7169:0.10030406|10276:0.02022077|46183:0.02164602|24104:0.01828097|12897:0.16406577|9485:0.02217954|46274:0.02033182|31822:0.17007290|9576:0.17561829|3380:0.02164602|31759:0.27899164|31761:0.06769384|19240:0.04435908|31760:0.18051691|36666:0.02033182|1005:0.02050822|49146:0.02050822|1006:0.02050822|30285:0.02033182|2381:0.02206333|24048:0.02083310|31791:0.59817418|31856:0.13915446|37525:0.27049392|37524:0.27839900|37526:0.27049392|37333:0.27839900|2202:0.02146090,3,2
18108:0.04057735|36899:0.02043387|29109:0.03242770|41932:0.02661473|21582:0.07553999|10620:0.03252787|36754:0.22716738|41967:0.04206667|21834:0.06486061|10838:0.09336342|37316:0.06184908|29270:0.05274625|36822:0.07600624|1490:0.06267156|42368:0.15900402|45341:0.70080487|42379:0.13023024|26402:0.21804675|45396:0.09770431|49992:0.11651324|10419:0.10263705|32949:0.11789021|19843:0.24538283|434:0.13694346|32950:0.13057716|21329:0.30192438|45345:0.30192438,3,2
18108:0.03934425|36899:0.01320861|41932:0.00860198|10620:0.03153939|12776:0.01554790|2910:0.01631081|12546:0.09179070|27300:0.02716970|12575:0.06832702|14687:0.16054203|49572:0.36639893|45265:0.01590152|11047:0.12778572|48820:0.07228369|23505:0.02364065|37091:0.02130997|37394:0.02183416|49692:0.16741247|41782:0.13914130|49294:0.14746951|41937:0.02684563|9735:0.05004740|10139:0.35543538|10142:0.04255464|49782:0.34446204|11209:0.42574127|49695:0.04231762|13509:0.32827666|48842:0.07764184|14706:0.08353660|21026:0.08852127|49295:0.17772637|7260:0.18419460|18580:0.09163378|13510:0.30793703,3,2
18108:0.03859048|36899:0.04663999|29109:0.02467190|47879:0.01119346|21582:0.03831529|46637:0.08142099|24927:0.08126278|7941:0.05422118|46735:0.04566924|6704:0.05602015|12776:0.09150013|8218:0.03706164|4871:0.02874617|3802:0.05811172|27300:0.14390554|14311:0.02515525|35630:0.02802181|29270:0.02006541|45265:0.01871624|46701:0.06399758|46296:0.04957221|47284:0.13713913|47327:0.03333729|24137:0.17707589|37091:0.12541022|12806:0.02554279|47341:0.09857135|37394:0.02569902|33982:0.26595895|27458:0.03171082|8044:0.02517738|27591:0.03953576|27593:0.04311215|21741:0.03573304|24193:0.03835333|12705:0.07287355|37098:0.03109290|39384:0.03430346|11037:0.04384066|49285:0.08921748|47349:0.08149467|24957:0.07486910|46750:0.08206858|24641:0.07776307|2920:0.08577469|41847:0.04358809|12720:0.11088883|39385:0.05135046|6330:0.08577469|41134:0.03935933|1333:0.03958711|4133:0.04415814|21844:0.04825091|31146:0.52296421|35090:0.10897037|24243:0.12550528|46715:0.04941221|24642:0.10785386|25639:0.17455113|26590:0.29416749|30463:0.09437041|16352:0.04916170|16357:0.09832340|35635:0.04941221|30406:0.05654998|20966:0.43141545|16355:0.21570772,3,2
18108:0.01104501|47879:0.01601844|28359:0.11201803|1490:0.06823588|28710:0.12254713|6680:0.06791491|33906:0.15480255|44239:0.07586357|33909:0.13057864|9495:0.06559044|28757:0.07717231|28742:0.06935778|28438:0.07209576|32238:0.07108525|33938:0.07483896|30444:0.94079603,3,2
18108:0.00306722|47879:0.00889670|11146:0.00785777|27673:0.00852096|23281:0.01080340|31974:0.01568145|11036:0.01861426|46805:0.01522514|47944:0.01610809|5402:0.01665526|22674:0.01658158|22679:0.04307859|23330:0.03594372|2806:0.01768177|36597:0.01392181|21300:0.01558311|13446:0.01810371|1784:0.01930472|5407:0.01984891|8769:0.01921762|30679:0.02078291|1774:0.02247330|35486:0.50413232|4586:0.66811392|35487:0.53963048,3,2
18108:0.01758184|29109:0.02810133|41932:0.02306390|47879:0.02549873|41995:0.04154733|45265:0.04263565|23505:0.06338605|7880:0.09012093|48185:0.09779842|24664:0.09340207|7885:0.09831432|48191:0.10148633|7890:0.10244137|12166:0.09963616|10293:0.69990987|12167:0.10122503|18557:0.10991570|24451:0.34859904|13973:0.22342732|10304:0.36028757|10301:0.23645840|14051:0.10202405|36206:0.12284570|2196:0.11913140|29192:0.11960531,3,2
18108:0.01713821|40320:0.03531667|36899:0.03452173|41932:0.02248195|47879:0.04971068|21582:0.04254001|47200:0.12856910|48033:0.10668032|21043:0.24410053|41967:0.03553448|28359:0.05793837|23281:0.18109341|23308:0.09583362|11327:0.46632626|11344:0.09604009|11377:0.11402492|43696:0.13980188|17183:0.67906978|21715:0.08544838|11358:0.08974004|47214:0.09475081|46933:0.08170879|18852:0.09193918|9315:0.08664708|40364:0.11524601|47948:0.11186889|23318:0.11186889|43708:0.22965341,3,2
6425:0.08009416|3404:0.58792738|36899:0.04869981|41932:0.12686116|4871:0.18009437|4900:0.18502244|48820:0.26650819|6443:0.12267872|48974:0.16627240|35517:0.35437009|35557:0.24054826|41940:0.19925411|36940:0.25811561|41941:0.23146715|3539:0.32515515,3,2
6425:0.07334903|40075:0.03716670|18108:0.02214082|47879:0.01070352|21582:0.06411690|26754:0.02750285|10620:0.01183244|13813:0.01363761|17263:0.09463013|22346:0.07028110|28853:0.02187063|17428:0.01723325|10690:0.01601529|22370:0.03019446|10173:0.08035223|22078:0.07299160|21692:0.01962501|30383:0.02861086|44924:0.05637534|8724:0.03613553|11769:0.12140223|44793:0.02069443|48677:0.06165814|11566:0.04574779|46334:0.02395644|6597:0.03091912|34704:0.05383274|42473:0.04775239|13868:0.02835135|13871:0.03072573|21697:0.03070382|14376:0.02729942|18547:0.03287541|28710:0.02729534|47540:0.05995590|31887:0.09312411|46437:0.03058119|46438:0.03058119|10540:0.03377469|4156:0.03477849|1282:0.11689378|25691:0.03112692|15014:0.02652811|910:0.03679686|28857:0.03986341|31834:0.35896136|35971:0.10319114|1253:0.19480649|21590:0.03355733|36606:0.07918403|47458:0.28561955|1294:0.04463063|40860:0.07647276|44935:0.07816839|1330:0.03842353|17276:0.04762814|11797:0.04624102|47776:0.14138532|44813:0.04478923|25805:0.04227750|1260:0.04300149|4653:0.18224528|11642:0.04565373|47542:0.04893755|1277:0.21442062|6615:0.13641102|17274:0.04312125|17429:0.04432573|17275:0.04447620|31832:0.33536861|22372:0.04613896|37799:0.15123677|11675:0.22828920|40199:0.09525629|22087:0.14068107|31915:0.14730856|31833:0.47561251,3,2
6425:0.07251497|18108:0.04377811|36899:0.02939428|21582:0.05433242|7941:0.06834447|10620:0.04679159|43583:0.09043999|10690:0.03166635|4871:0.05435077|12546:0.10213496|27300:0.06046314|36754:0.20423873|21834:0.04665124|10838:0.06715199|37316:0.04448518|49572:0.10192247|23281:0.10279728|6443:0.07404654|3909:0.58894866|4916:0.06923728|18264:0.17751807|3923:0.18445246|10697:0.07764596|36790:0.14989156|36791:0.08639161|4987:0.07134065|7973:0.08639161|23294:0.08721095|6458:0.08159962|3992:0.15504505|18272:0.09318507|27330:0.16268164|3993:0.19107939|4064:0.21093516|3959:0.18454921|36771:0.08779120|21836:0.09583345|28916:0.30439968|4043:0.17876615|43592:0.09391811|9320:0.08613087|36792:0.09525320|49582:0.19625745|3929:0.09887753|12555:0.09887753,3,2
